id;tweetCount;retweetCount;favoriteCount;rotulo
1;23;276;669;real
2;13;20;61;real
3;75;401;1143;real
4;39;6;19;real
5;26;3;11;real
6;27;2;4;real
7;24;2;10;real
8;33;2;3;real
9;25;1;1;real
10;31;8;56;real
11;37;56;147;real
12;24;6;41;real
13;23;3;11;real
14;31;8;9;real
15;32;1;7;real
16;38;6;4;real
17;15;5;4;real
18;33;5;10;real
19;32;2;5;real
20;27;3;16;real
21;29;1;4;real
22;30;11;41;real
23;33;2;4;real
24;88;0;1;real
25;107;6;9;real
26;7;2;16;real
27;7;12;35;real
28;8;2;6;real
29;9;3;26;real
30;13;161;976;real
31;7;1;9;real
32;9;26;116;real
33;12;14;68;real
34;42;60;224;real
35;11;0;10;real
36;10;1;4;real
37;7;1;22;real
38;31;7;21;real
39;19;16;112;real
40;8;6;7;real
41;7;7;37;real
42;11;29;145;real
43;14;14;68;real
44;7;5;26;real
45;9;12;40;real
46;9;9;68;real
47;10;21;165;real
48;10;143;1492;real
49;8;6;18;real
50;8;0;11;real
51;9;13;43;real
52;28;69;448;real
53;64;352;2955;real
54;13;32;102;real
55;12;18;70;real
56;9;8;28;real
57;249;125;409;real
58;13;33;123;real
59;88;393;3196;real
60;9;2;15;real
61;14;0;2;real
62;7;3;28;real
63;6;3;16;real
64;8;4;48;real
65;7;16;34;real
66;14;3;10;real
67;59;326;1426;real
68;29;179;1361;real
69;14;8;15;real
70;14;2;6;real
71;49;20;47;real
72;6;199;1831;real
73;9;5;21;real
74;40;115;969;real
75;41;168;1308;real
76;10;9;41;real
77;6;7;7;real
78;12;24;333;real
79;8;2;12;real
80;14;0;14;real
81;13;1;27;real
82;42;54;261;real
83;13;5;19;real
84;22;105;867;real
85;19;61;269;real
86;11;4;37;real
87;10;7;24;real
88;12;4;25;real
89;31;57;512;real
90;128;69;141;real
91;10;5;66;real
92;17;22;71;real
93;7;0;10;real
94;19;38;407;real
95;12;19;153;real
96;8;12;74;real
97;7;18;159;real
98;6;0;4;real
99;6;3;15;real
100;14;8;191;real
101;27;59;254;real
102;26;12;29;real
103;8;1;12;real
104;13;5;33;real
105;12;15;193;real
106;11;5;10;real
107;70;122;1351;real
108;14;7;47;real
109;6;15;168;real
110;38;84;345;real
111;66;167;1210;real
112;11;11;39;real
113;6;1;6;real
114;13;4;22;real
115;10;1;5;real
116;9;2;7;real
117;15;7;25;real
118;25;9;39;real
119;7;1;7;real
120;72;55;205;real
121;12;5;47;real
122;7;3;12;real
123;55;102;827;real
124;13;21;179;real
125;11;34;230;real
126;11;4;15;real
127;6;6;19;real
128;13;5;35;real
129;8;5;54;real
130;10;13;86;real
131;10;5;26;real
132;7;2;19;real
133;17;1;9;real
134;6;2;4;real
135;15;47;162;real
136;12;6;44;real
137;25;130;1234;real
138;7;36;350;real
139;7;3;24;real
140;6;2;6;real
141;11;2;19;real
142;11;13;25;real
143;41;27;247;real
144;48;30;110;real
145;17;8;47;real
146;6;1;8;real
147;55;67;622;real
148;12;82;394;real
149;30;114;763;real
150;9;0;47;real
151;14;9;102;real
152;7;2;20;real
153;6;2;21;real
154;13;2;39;real
155;8;8;36;real
156;9;5;19;real
